"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00194",104.859265479922,-0.163576311408494,0.230420677370926,-0.709902918760944,0.477764340327988,0.998912159871704
"AQUIFEX_00195",106.858035549605,-0.0254511795435055,0.229178098173087,-0.111054152846157,0.911573404504946,0.998912159871704
"AQUIFEX_00196",187.99431886928,-0.13268316493138,0.165435459081837,-0.802023735828873,0.422539228251819,0.998912159871704
"AQUIFEX_00197",476.384083299866,-0.031827738456973,0.108539888175888,-0.293235408584504,0.769342220895756,0.998912159871704
"AQUIFEX_00198",308.104831586494,0.0903423159222499,0.133883001500856,0.674785558356877,0.499812016949495,0.998912159871704
"AQUIFEX_00199",213.218925769128,-0.0863974723858961,0.158345118216172,-0.545627635125111,0.585321924167878,0.998912159871704
"AQUIFEX_00200",239.189990429867,0.0135125642362377,0.148104527239949,0.0912366724235617,0.927304536075939,0.998912159871704
"AQUIFEX_00201",171.52535796823,0.0224913101010926,0.172049455401765,0.130725843034908,0.895992187989341,0.998912159871704
"AQUIFEX_00202",293.124097036493,0.0161859363644353,0.136648958628498,0.118449028275725,0.9057118802245,0.998912159871704
"AQUIFEX_00203",89.3838913141589,0.0498381814510685,0.244952569261079,0.203460537692705,0.838775086913138,0.998912159871704
"AQUIFEX_00204",134.8203024139,-0.191180781136927,0.197566107937308,-0.967680049644913,0.333204184770245,0.998912159871704
"AQUIFEX_00205",86.6392646241646,0.00974541838964654,0.246059249987325,0.039605982665348,0.968407257705972,0.998912159871704
"AQUIFEX_00206",93.8768994166938,0.093636140005561,0.237092918024655,0.394934360695766,0.692891330775315,0.998912159871704
"AQUIFEX_00207",0,NA,NA,NA,NA,NA
"AQUIFEX_00208",79.8905938964025,-0.324496526712935,0.256674410079196,-1.26423404114501,0.206146035950645,0.998912159871704
"AQUIFEX_00209",95.3709440174504,-0.0740185528835169,0.237519658164684,-0.311631270672326,0.755320766308067,0.998912159871704
"AQUIFEX_00210",84.6381854564154,-0.0410743906403599,0.250489783746504,-0.163976310834006,0.869749792584913,0.998912159871704
"AQUIFEX_00211",255.913433153001,-0.0914615578711741,0.144350852046689,-0.633605943951004,0.526338020750732,0.998912159871704
"AQUIFEX_00212",192.499169137936,0.0276818375106116,0.165568030535983,0.167193131554437,0.867218088579471,0.998912159871704
"AQUIFEX_00213",90.1287434184666,0.00954043583123229,0.242779676914798,0.0392966822942946,0.968653851720613,0.998912159871704
"AQUIFEX_00214",0,NA,NA,NA,NA,NA
"AQUIFEX_00215",113.863022125873,0.37040171816475,0.219140990829979,1.69024387797957,0.0909813070848447,0.998912159871704
"AQUIFEX_00216",0,NA,NA,NA,NA,NA
"AQUIFEX_00217",0,NA,NA,NA,NA,NA
"AQUIFEX_00218",0,NA,NA,NA,NA,NA
"AQUIFEX_00220",187.011601397583,0.221501408039633,0.16553074400146,1.33812851126725,0.180854548041076,0.998912159871704
"AQUIFEX_00221",135.578466240952,0.0917974002990163,0.197775051790624,0.464150556240017,0.642539882575988,0.998912159871704
